EA Sports FIFA 18 (PS4),https://m.media-amazon.com/images/I/512Oj7Kq0-L._AC_UL436_.jpg,http://amazon.in/EA-Sports-FIFA-18-PS4/dp/B071ZZZ3K9/ref=sr_1_57?keywords=ps4&qid=1564152963&s=gateway&sr=8-57,4.4 out of 5 stars,478,845,India,,"['13', '9']",2
Uncharted: The Lost Legacy (PS4),https://m.media-amazon.com/images/I/51GGLGKAWsL._AC_UL436_.jpg,http://amazon.in/Uncharted-The-Lost-Legacy-PS4/dp/B01LTI9IEA/ref=sr_1_58?keywords=ps4&qid=1564152963&s=gateway&sr=8-58,4.6 out of 5 stars,360,"1,360",India,,"['23', '14']",2
Uncharted Collection Hits (PS4),https://m.media-amazon.com/images/I/71VMbefICaL._AC_UL436_.jpg,http://amazon.in/Sony-Uncharted-Collection-Hits-PS4/dp/B07M5V17R9/ref=sr_1_59?keywords=ps4&qid=1564152963&s=gateway&sr=8-59,4.8 out of 5 stars,16,"1,246",India,,"['64', '35']",2
Mortal Kombat 11 (PS4),https://m.media-amazon.com/images/I/81j5njcdgwL._AC_UL436_.jpg,http://amazon.in/WB-Games-Mortal-Kombat-PS4/dp/B07MQ6JBZM/ref=sr_1_60?keywords=ps4&qid=1564152963&s=gateway&sr=8-60,4.8 out of 5 stars,39,"2,965",India,,"['57', '30']",2
Call of Duty: Advanced Warfare (PS4),https://m.media-amazon.com/images/I/818A-P2eoKL._AC_UL436_.jpg,http://amazon.in/Call-Duty-Advanced-Warfare-PS4/dp/B00P2CK5VU/ref=sr_1_61?keywords=ps4&qid=1564152963&s=gateway&sr=8-61,4.1 out of 5 stars,661,"1,140",India,,"['226', '104']",2
AmazonBasics Gaming Headset - Green,https://m.media-amazon.com/images/I/71uCexWtHeL._AC_UL436_.jpg,http://amazon.in/AmazonBasics-MW-GAH-003-Gaming-Headset-Green/dp/B0797762M1/ref=sr_1_62?keywords=ps4&qid=1564152963&s=gateway&smid=AT95IG9ONZD7S&sr=8-62,3.8 out of 5 stars,119,"1,899",India,Lightning Deal  ,"['3', '123', '32', '107']",4
UFC 3 (PS4),https://m.media-amazon.com/images/I/81kYbtv7yyL._AC_UL436_.jpg,http://amazon.in/Electronic-Arts-220753-UFC-PS4/dp/B0777SJJ4V/ref=sr_1_63?keywords=ps4&qid=1564152963&s=gateway&sr=8-63,4.6 out of 5 stars,33,"1,930",India,,"['254', '113']",2
Tekken 7 (PS4),https://m.media-amazon.com/images/I/81tk896p+VL._AC_UL436_.jpg,http://amazon.in/Namco-217940-Tekken-7-PS4/dp/B071WC5TKG/ref=sr_1_64?keywords=ps4&qid=1564152963&s=gateway&sr=8-64,4.2 out of 5 stars,132,"1,765",India,,"['56', '29']",2
Battlefield V (PS4),https://m.media-amazon.com/images/I/712BWOImIKL._AC_UL436_.jpg,http://amazon.in/Electronic-Arts-Battlefield-V-PS4/dp/B07D9QBZ88/ref=sr_1_65?keywords=ps4&qid=1564152963&s=gateway&sr=8-65,3.4 out of 5 stars,38,"1,890",India,,"['186', '90']",2
The Witcher 3: Wild Hunt - Game of the Year Edition (PS4),https://m.media-amazon.com/images/I/81Vmq4IZ40L._AC_UL436_.jpg,http://amazon.in/Witcher-Wild-Hunt-Game-Year/dp/B01KZ2GY7A/ref=sr_1_66?keywords=ps4&qid=1564152963&s=gateway&sr=8-66,4.4 out of 5 stars,114,"2,110",India,,"['138', '71']",2
