Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
PS4 Spiderman 'classic version' costume pattern,https://i.etsystatic.com/8590889/d/il/5535c0/1622681628/il_340x270.1622681628_m69k.jpg?version=0,https://www.etsy.com/in-en/listing/641586665/ps4-spiderman-classic-version-costume?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-33&organic_search_click=1&frs=1,4.8571,114,31.06,United States
ps4 skin purple space ps4 skin pastel ps4 skin galaxy ps4 skin star PS4 Slim Sticker PS4 Fat Sticker console decal Slim PS4 Fat PS4 Slim,https://i.etsystatic.com/19936532/d/il/2127e0/1919341979/il_340x270.1919341979_eu7v.jpg?version=0,https://www.etsy.com/in-en/listing/704950393/ps4-skin-purple-space-ps4-skin-pastel?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-34&organic_search_click=1,4.5,12,5.55,United States
Blue Splatter Soft Touch PS4 Controller,https://i.etsystatic.com/20332497/d/il/882d4c/1949808317/il_340x270.1949808317_ti43.jpg?version=0,https://www.etsy.com/in-en/listing/698314126/blue-splatter-soft-touch-ps4-controller?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-35&organic_search_click=1,5,3,69,United States
Game Controller SVG/ joystick svg/ ps4/ playstation/ Clipart/ Silhouette/ Printable/ Cut Files/ cricut/ Instant Download,https://i.etsystatic.com/17348275/d/il/284cab/1596887254/il_340x270.1596887254_1dcd.jpg?version=0,https://www.etsy.com/in-en/listing/638239015/game-controller-svg-joystick-svg-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-36&organic_search_click=1&pro=1,4.9497,1207,3.07,United States
Spider-Man PS4 Advanced Suit Faceshell 3D Printable,https://i.etsystatic.com/14167953/d/il/60d26f/1948568382/il_340x270.1948568382_oi52.jpg?version=0,https://www.etsy.com/in-en/listing/709052228/spider-man-ps4-advanced-suit-faceshell?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-37&organic_search_click=1,5,5,35.4,United States
"PS4 TechFire LED wireless controller ""Monster green""",https://i.etsystatic.com/14102023/d/il/16e5a7/1874664727/il_340x270.1874664727_pbrx.jpg?version=0,https://www.etsy.com/in-en/listing/680448566/ps4-techfire-led-wireless-controller?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-38&organic_search_click=1&pro=1,4.3214,41,159.99,United States
Playstation PS2 PS3 PS4 Button Cufflinks,https://i.etsystatic.com/8567010/d/il/f143f6/508467932/il_340x270.508467932_nrhp.jpg?version=0,https://www.etsy.com/in-en/listing/164564226/playstation-ps2-ps3-ps4-button-cufflinks?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-39&organic_search_click=1,5,137,15.53,United States
PS4 playstation4 Controller • TigerFire* TechFire custom LED wireless controller • gift • gift for him • gamer • christmas gift • birthday,https://i.etsystatic.com/14102023/d/il/2109e5/1836037666/il_340x270.1836037666_dhc2.jpg?version=0,https://www.etsy.com/in-en/listing/696404555/ps4-playstation4-controller-tigerfire?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-40&organic_search_click=1&sca=1,4.3214,41,199.99,United States
Playstation 4 PS4 PRO Wall Mount Black - ViMount,https://i.etsystatic.com/11858976/d/il/c3661d/1415273988/il_340x270.1415273988_pxz7.jpg?version=0,https://www.etsy.com/in-en/listing/479283586/playstation-4-ps4-pro-wall-mount-black?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-41&organic_search_click=1&pro=1&frs=1,5,19,36.44,United States
Wood Grain Soft Touch PS4 Controller,https://i.etsystatic.com/20332497/d/il/f51c8c/1949804983/il_340x270.1949804983_m5u4.jpg?version=0,https://www.etsy.com/in-en/listing/698313438/wood-grain-soft-touch-ps4-controller?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-42&organic_search_click=1,5,3,69,United States
grunge ps4 skin dark ps4 skin vintage ps4 skin wood sticker wrap PS4 Fat Decal PS4 Pro Skin Controller Skin Slim Playstation Console Sticker,https://i.etsystatic.com/19936532/d/il/771fc7/1882264053/il_340x270.1882264053_lkvk.jpg?version=0,https://www.etsy.com/in-en/listing/696111723/grunge-ps4-skin-dark-ps4-skin-vintage?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-43&organic_search_click=1,4.4545,11,5.55,United States
DOOM Eternal - YELLOW KeyCard - Card holder Exact replica (game gamer gift ps4 xbox present props replica monster sculptures figurines),https://i.etsystatic.com/14669360/c/2000/1589/0/410/il/a42d77/1932838536/il_340x270.1932838536_a5iu.jpg,https://www.etsy.com/in-en/listing/717228107/doom-eternal-yellow-keycard-card-holder?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-44&organic_search_click=1&pro=1&frs=1,5,89,49.5,United States
